jogo;data_jogo;idade;cod_equipe;cod_equipe_opont;resultado;diff_pts;minutos;2pts;2pts_at;2pts_pct;3pts;3pts_at;3pts_pct;LL;LL_at;LL_pct;Reb_Of;Reb_Def;Reb_Tot;Ast;Stl;Blk;Turnv;Pts;Game_Score
76;22/04/1993;30-064;6;11;W ;(+6);46;15;27;0.556;0;1;0;6;11;0.545;1;6;7;4;4;0;2;36;26.8
77;23/04/1993;30-065;6;5;L ;(-1);38;15;27;0.556;1;2;0.5;7;8;0.875;1;3;4;3;0;0;2;38;25.2
78;25/04/1993;30-067;6;26;L ;(-5);37;10;28;0.357;0;2;0;1;3;0.333;5;1;6;7;1;1;4;21;10.6
1;19/03/1995;32-030;6;14;L ;(-7);43;7;28;0.25;0;4;0;5;6;0.833;2;4;6;6;3;0;3;19;7.4
2;22/03/1995;32-033;6;2;W ;(+17);26;9;17;0.529;1;3;0.333;8;8;1;0;3;3;3;2;1;0;27;22.8
3;24/03/1995;32-035;6;28;L ;(-7);44;7;23;0.304;0;2;0;7;11;0.636;0;4;4;8;5;2;2;21;16.5
4;25/03/1995;32-036;6;1;W ;(+1);43;14;26;0.538;0;1;0;4;4;1;0;4;4;2;1;0;0;32;22.2
5;28/03/1995;32-039;6;26;W ;(+2);39;21;37;0.568;3;4;0.75;10;11;0.909;0;4;4;2;1;0;2;55;37.5
6;30/03/1995;32-041;6;2;W ;(+18);39;8;17;0.471;2;2;1;5;7;0.714;0;11;11;6;0;0;4;23;16.2
7;01/04/1995;32-043;6;29;W ;(+7);35;5;19;0.263;0;1;0;2;4;0.5;1;4;5;6;1;1;3;12;3.9
8;05/04/1995;32-047;6;22;W ;(+7);43;13;31;0.419;1;1;1;10;14;0.714;3;8;11;2;3;1;2;37;25.3
9;07/04/1995;32-049;6;8;W ;(+9);42;9;27;0.333;1;2;0.5;9;10;0.9;0;8;8;9;2;1;4;28;17.7
10;09/04/1995;32-051;6;8;L ;(-1);46;9;26;0.346;2;3;0.667;1;2;0.5;4;5;9;5;1;1;3;21;11.7
11;11/04/1995;32-053;6;14;W ;(+7);42;8;27;0.296;1;1;1;8;10;0.8;2;9;11;6;1;2;1;25;16.6
12;12/04/1995;32-054;6;11;W ;(+11);44;12;23;0.522;1;2;0.5;4;4;1;1;8;9;9;0;0;4;29;21.5
13;16/04/1995;32-058;6;26;W ;(+21);37;8;19;0.421;0;0;;12;14;0.857;4;2;6;4;3;1;1;28;25.2
14;17/04/1995;32-059;6;19;W ;(+5);40;9;21;0.429;0;0;;13;16;0.813;0;5;5;4;3;0;1;31;24.2
15;20/04/1995;32-062;6;11;W ;(+15);27;8;18;0.444;0;0;;1;1;1;4;4;8;7;1;2;0;17;18.1
16;22/04/1995;32-064;6;5;W ;(+16);33;8;16;0.5;0;2;0;3;4;0.75;0;2;2;4;0;0;1;19;12.6
17;23/04/1995;32-065;6;20;L ;(-4);45;11;29;0.379;4;4;1;7;10;0.7;4;7;11;7;3;1;4;33;23.8
1;03/11/1995;32-259;6;5;W ;(+14);39;16;29;0.552;3;7;0.429;7;9;0.778;1;5;6;7;0;0;1;42;31.8
2;04/11/1995;32-260;6;2;W ;(+22);21;5;12;0.417;0;1;0;5;7;0.714;0;0;0;3;3;1;0;15;12
3;07/11/1995;32-263;6;35;W ;(+9);40;13;19;0.684;3;4;0.75;9;9;1;1;3;4;5;4;0;1;38;37.2
4;09/11/1995;32-265;6;8;W ;(+18);37;12;24;0.5;4;8;0.5;1;2;0.5;0;5;5;3;0;0;3;29;16
5;11/11/1995;32-267;6;31;W ;(+4);40;11;23;0.478;0;2;0;14;15;0.933;2;1;3;7;1;1;3;36;28
6;14/11/1995;32-270;6;28;L ;(-6);40;8;20;0.4;3;7;0.429;4;5;0.8;2;5;7;6;2;0;2;23;17.3
7;15/11/1995;32-271;6;8;W ;(+19);29;7;10;0.7;1;2;0.5;5;7;0.714;1;6;7;2;1;0;1;20;18.1
8;17/11/1995;32-273;6;22;W ;(+15);35;7;16;0.438;0;1;0;4;4;1;1;2;3;3;4;0;5;18;10.8
