jogo;data_jogo;idade;cod_equipe;cod_equipe_opont;resultado;diff_pts;minutos;2pts;2pts_at;2pts_pct;3pts;3pts_at;3pts_pct;LL;LL_at;LL_pct;Reb_Of;Reb_Def;Reb_Tot;Ast;Stl;Blk;Turnv;Pts;Game_Score
17;03/12/1996;33-290;6;20;W ;(+3);41;13;27;0.481;0;0;;14;17;0.824;2;4;6;6;0;0;3;40;28.5
18;05/12/1996;33-292;6;16;W ;(+18);31;9;21;0.429;0;3;0;2;3;0.667;1;3;4;6;2;0;1;20;14.1
19;07/12/1996;33-294;6;19;L ;(-3);42;16;30;0.533;0;3;0;5;6;0.833;1;8;9;3;0;0;0;37;26.8
20;08/12/1996;33-295;6;35;L ;(-8);41;5;17;0.294;1;4;0.25;2;2;1;0;9;9;8;2;2;3;13;11.4
21;11/12/1996;33-298;6;21;W ;(+17);36;10;16;0.625;1;1;1;6;6;1;0;7;7;3;3;0;1;27;26
22;13/12/1996;33-300;6;22;W ;(+21);34;9;19;0.474;3;5;0.6;11;12;0.917;0;6;6;6;4;0;1;32;30.1
23;14/12/1996;33-301;6;5;W ;(+5);41;10;26;0.385;0;3;0;9;12;0.75;2;7;9;5;5;0;1;29;24.6
24;17/12/1996;33-304;6;17;W ;(+6);47;10;32;0.313;0;2;0;10;14;0.714;5;4;9;3;1;1;2;30;15.7
25;19/12/1996;33-306;6;5;W ;(+21);36;13;27;0.481;3;8;0.375;6;7;0.857;5;3;8;1;1;1;2;35;25.7
26;21/12/1996;33-308;6;29;W ;(+6);44;12;29;0.414;1;3;0.333;6;8;0.75;0;1;1;3;1;1;1;31;16.2
27;23/12/1996;33-310;6;22;W ;(+32);33;10;18;0.556;0;1;0;4;4;1;2;1;3;4;0;0;3;24;16.5
28;25/12/1996;33-312;6;11;W ;(+12);46;9;21;0.429;0;4;0;5;7;0.714;6;4;10;2;1;0;4;23;13.7
29;26/12/1996;33-313;6;1;L ;(-5);40;10;25;0.4;2;5;0.4;12;13;0.923;0;3;3;1;2;1;0;34;23.6
30;28/12/1996;33-315;6;8;W ;(+5);42;13;25;0.52;0;1;0;19;20;0.95;2;5;7;5;3;0;4;45;36.1
31;30/12/1996;33-317;6;14;W ;(+2);40;12;29;0.414;1;5;0.2;3;4;0.75;3;4;7;4;1;0;3;28;15.8
32;03/01/1997;33-321;6;28;W ;(+21);35;10;18;0.556;0;2;0;2;2;1;1;3;4;6;2;1;2;22;19.1
33;06/01/1997;33-324;6;36;W ;(+13);40;8;20;0.4;2;3;0.667;5;6;0.833;3;5;8;3;3;1;1;23;19.8
34;10/01/1997;33-328;6;20;W ;(+15);38;11;23;0.478;3;4;0.75;8;13;0.615;1;4;5;3;0;0;0;33;22.5
35;11/01/1997;33-329;6;13;W ;(+24);39;12;25;0.48;4;6;0.667;4;4;1;0;6;6;7;2;0;3;32;24.6
36;14/01/1997;33-332;6;39;W ;(+1);40;14;27;0.519;0;4;0;11;11;1;0;2;2;2;2;0;0;39;28.5
37;15/01/1997;33-333;6;21;W ;(+10);35;12;22;0.545;1;5;0.2;0;0;;1;2;3;4;1;1;3;25;16.4
38;17/01/1997;33-335;6;20;W ;(+27);36;10;15;0.667;1;2;0.5;3;4;0.75;1;6;7;11;2;0;1;24;27.5
39;19/01/1997;33-337;6;13;L ;(-16);43;8;25;0.32;1;6;0.167;9;9;1;3;11;14;5;1;1;1;26;21.3
40;21/01/1997;33-339;6;26;W ;(+1);43;18;30;0.6;5;8;0.625;10;11;0.909;1;3;4;4;2;0;2;51;40.8
41;23/01/1997;33-341;6;8;W ;(+16);39;10;24;0.417;1;5;0.2;11;12;0.917;1;8;9;0;1;0;4;32;18.1
42;25/01/1997;33-343;6;35;W ;(+12);31;10;16;0.625;3;4;0.75;1;2;0.5;1;2;3;4;2;0;0;24;22.1
43;28/01/1997;33-346;6;37;W ;(+15);32;12;19;0.632;1;3;0.333;3;4;0.75;1;3;4;3;4;0;2;28;24.4
44;30/01/1997;33-348;6;32;W ;(+18);40;11;19;0.579;1;5;0.2;9;10;0.9;0;6;6;2;3;0;2;32;25.7
45;31/01/1997;33-349;6;12;W ;(+23);32;8;17;0.471;1;6;0.167;1;1;1;0;4;4;8;3;0;2;18;16.3
46;02/02/1997;33-351;6;34;W ;(+7);45;19;28;0.679;2;3;0.667;5;6;0.833;3;4;7;3;1;0;1;45;37.2
47;04/02/1997;33-353;6;31;W ;(+4);41;15;30;0.5;1;4;0.25;5;5;1;1;4;5;2;1;2;0;36;25.5
48;05/02/1997;33-354;6;17;L ;(-16);40;10;24;0.417;2;5;0.4;5;6;0.833;1;3;4;4;1;1;2;27;17.5
49;11/02/1997;33-360;6;5;W ;(+3);42;16;24;0.667;1;2;0.5;10;14;0.714;0;5;5;4;3;0;5;43;32.5
50;14/02/1997;33-363;6;1;W ;(+1);45;13;28;0.464;1;2;0.5;3;5;0.6;3;5;8;4;2;0;4;30;19.2
51;16/02/1997;33-365;6;28;W ;(+21);38;8;20;0.4;3;4;0.75;0;0;;1;7;8;10;4;0;2;19;18.8
52;18/02/1997;34-001;6;10;W ;(+11);32;10;18;0.556;1;3;0.333;3;4;0.75;2;3;5;12;3;0;0;24;27.5
53;21/02/1997;34-004;6;39;W ;(+4);45;13;28;0.464;3;4;0.75;7;12;0.583;1;3;4;4;1;0;2;36;22.2
54;22/02/1997;34-005;6;12;W ;(+33);31;13;19;0.684;5;8;0.625;3;4;0.75;1;4;5;1;3;0;2;34;28.7
55;24/02/1997;34-007;6;31;W ;(+27);30;13;27;0.481;3;7;0.429;8;9;0.889;1;3;4;3;0;0;1;37;25.2
56;27/02/1997;34-010;6;8;L ;(-3);43;7;25;0.28;0;3;0;9;9;1;1;7;8;4;0;0;2;23;11.1
57;28/02/1997;34-011;6;32;W ;(+18);35;13;20;0.65;5;7;0.714;4;5;0.8;1;8;9;6;1;1;2;35;32
58;03/03/1997;34-014;6;20;W ;(+18);36;11;19;0.579;3;7;0.429;6;6;1;0;3;3;6;2;0;2;31;26.4
59;05/03/1997;34-016;6;33;W ;(+42);23;7;17;0.412;1;4;0.25;1;2;0.5;1;1;2;4;2;0;0;16;11.9
60;07/03/1997;34-018;6;14;W ;(+8);44;11;21;0.524;1;3;0.333;15;17;0.882;1;3;4;5;2;1;4;38;29.5
61;09/03/1997;34-020;6;26;L ;(-4);46;14;31;0.452;0;3;0;8;9;0.889;2;4;6;4;1;0;1;36;24.1
62;11/03/1997;34-022;6;2;W ;(+11);43;13;23;0.565;1;3;0.333;5;6;0.833;0;4;4;9;3;0;2;32;28.4
63;12/03/1997;34-023;6;29;W ;(+4);37;9;24;0.375;1;4;0.25;4;5;0.8;0;5;5;3;2;1;4;23;10.9
64;14/03/1997;34-025;6;22;L ;(-1);39;16;34;0.471;1;3;0.333;3;5;0.6;2;6;8;5;0;1;1;36;23.8
65;15/03/1997;34-026;6;1;W ;(+20);29;5;11;0.455;0;1;0;0;0;;1;3;4;3;1;2;3;10;7
66;18/03/1997;34-029;6;34;W ;(+2);50;10;28;0.357;0;4;0;12;13;0.923;8;10;18;2;0;0;8;32;16.8
67;21/03/1997;34-032;6;14;W ;(+19);40;11;25;0.44;1;3;0.333;13;14;0.929;4;2;6;4;2;1;2;36;29.4
68;22/03/1997;34-033;6;11;W ;(+15);35;8;20;0.4;3;6;0.5;4;4;1;2;3;5;7;2;1;0;23;20.9
69;25/03/1997;34-036;6;9;W ;(+2);36;9;20;0.45;0;1;0;2;2;1;0;1;1;3;3;0;2;20;11.8
70;27/03/1997;34-038;6;35;W ;(+13);41;5;17;0.294;0;0;;2;3;0.667;3;7;10;4;0;2;6;12;3.3
71;29/03/1997;34-040;6;22;W ;(+10);39;9;21;0.429;1;2;0.5;2;3;0.667;2;4;6;10;0;2;0;21;19.3
72;01/04/1997;34-043;6;2;W ;(+5);27;8;11;0.727;0;0;;5;9;0.556;0;8;8;2;2;0;2;21;18.3
73;03/04/1997;34-045;6;39;L ;(-8);39;14;30;0.467;1;4;0.25;5;6;0.833;0;1;1;6;2;1;2;34;22.6
74;04/04/1997;34-046;6;8;W ;(+13);38;9;16;0.563;0;1;0;4;5;0.8;1;4;5;3;1;2;0;22;19.6
75;06/04/1997;34-048;6;28;W ;(+16);40;13;22;0.591;3;6;0.5;8;9;0.889;2;6;8;5;3;1;4;37;31.6
76;07/04/1997;34-049;6;29;W ;(+26);30;13;25;0.52;3;4;0.75;1;2;0.5;3;5;8;2;3;2;2;30;24.3
77;09/04/1997;34-051;6;14;W ;(+6);41;8;19;0.421;0;3;0;7;8;0.875;0;3;3;2;5;0;6;23;13
78;10/04/1997;34-052;6;26;W ;(+2);44;12;26;0.462;1;3;0.333;9;10;0.9;1;7;8;6;1;1;3;34;24.7
79;13/04/1997;34-055;6;11;L ;(-17);38;7;16;0.438;0;3;0;4;4;1;1;8;9;7;0;0;4;18;13.2
80;14/04/1997;34-056;6;35;W ;(+17);35;12;24;0.5;4;7;0.571;2;2;1;2;9;11;10;3;1;2;30;30
81;16/04/1997;34-058;6;19;L ;(-10);39;11;27;0.407;2;5;0.4;2;4;0.5;1;7;8;3;0;1;3;26;11.3
82;19/04/1997;34-061;6;26;L ;(-2);39;14;22;0.636;1;1;1;4;8;0.5;0;3;3;3;2;0;4;33;21
1;31/10/1997;34-256;6;2;L ;(-7);42;7;23;0.304;0;0;;16;21;0.762;1;5;6;4;2;1;3;30;18.6
2;01/11/1997;34-257;6;29;W ;(+20);24;7;14;0.5;0;0;;2;2;1;1;6;7;2;2;0;3;16;10.7
3;03/11/1997;34-259;6;33;W ;(+4);48;12;39;0.308;1;4;0.25;4;6;0.667;4;9;13;4;5;2;3;29;17.4
4;05/11/1997;34-261;6;28;W ;(+13);41;11;25;0.44;0;3;0;7;9;0.778;4;13;17;4;0;0;0;29;23.8
5;07/11/1997;34-263;6;1;L ;(-2);40;11;25;0.44;0;1;0;5;7;0.714;1;8;9;6;1;0;2;27;19
6;08/11/1997;34-264;6;22;W ;(+13);33;5;13;0.385;0;1;0;5;8;0.625;1;4;5;2;2;0;2;15;8.8
7;11/11/1997;34-267;6;8;L ;(-21);34;7;17;0.412;0;1;0;5;7;0.714;2;4;6;1;1;0;3;19;10
8;12/11/1997;34-268;6;38;L ;(-7);40;10;28;0.357;0;2;0;8;12;0.667;2;5;7;3;4;2;5;28;15.8
9;14/11/1997;34-270;6;5;W ;(+13);38;12;24;0.5;2;2;1;2;2;1;1;3;4;7;1;1;2;28;22.2
10;15/11/1997;34-271;6;8;W ;(+9);39;11;26;0.423;1;1;1;4;7;0.571;0;2;2;4;2;0;5;27;11.6
11;20/11/1997;34-276;6;30;L ;(-4);41;13;27;0.481;0;1;0;4;6;0.667;1;5;6;3;1;0;3;30;17.8
12;21/11/1997;34-277;6;16;W ;(+9);52;18;38;0.474;0;2;0;13;19;0.684;2;3;5;5;1;1;4;49;29.5
13;23/11/1997;34-279;6;32;W ;(+15);41;11;19;0.579;0;0;;11;12;0.917;1;2;3;5;2;1;2;33;28.8
14;25/11/1997;34-281;6;34;L ;(-1);38;11;25;0.44;0;2;0;4;6;0.667;2;4;6;5;5;0;3;26;19.8
15;28/11/1997;34-284;6;14;L ;(-11);42;11;26;0.423;0;2;0;4;8;0.5;1;6;7;2;2;0;1;26;14.3
16;29/11/1997;34-285;6;38;W ;(+5);37;10;21;0.476;1;1;1;8;12;0.667;0;4;4;3;2;0;2;29;18.8
17;03/12/1997;34-289;6;2;W ;(+10);40;11;21;0.524;1;3;0.333;6;8;0.75;4;5;9;5;2;1;7;29;20.6
18;05/12/1997;34-291;6;20;W ;(+22);35;4;16;0.25;0;3;0;5;6;0.833;3;6;9;2;1;0;1;13;7.1
19;09/12/1997;34-295;6;26;W ;(+18);37;10;23;0.435;0;0;;9;9;1;1;3;4;4;1;0;4;29;16.7
20;10/12/1997;34-296;6;28;L ;(-8);37;6;17;0.353;0;1;0;13;13;1;1;1;2;5;1;0;3;25;16.8
21;12/12/1997;34-298;6;5;L ;(-2);41;12;24;0.5;0;0;;4;6;0.667;3;6;9;5;0;0;4;28;17.8
22;13/12/1997;34-299;6;35;W ;(+27);27;4;16;0.25;0;0;;3;4;0.75;3;3;6;2;2;0;0;11;7.4
23;15/12/1997;34-301;6;30;W ;(+7);36;10;23;0.435;0;1;0;11;12;0.917;3;6;9;4;4;1;2;31;27.1
24;17/12/1997;34-303;6;17;W ;(+21);35;12;22;0.545;1;2;0.5;11;12;0.917;2;3;5;4;1;1;4;36;26.2
25;20/12/1997;34-306;6;22;W ;(+8);42;10;23;0.435;0;0;;4;5;0.8;3;2;5;3;0;2;2;24;14.9
26;23/12/1997;34-309;6;16;W ;(+5);40;9;24;0.375;0;1;0;9;12;0.75;7;5;12;4;0;1;2;27;20.5
27;25/12/1997;34-311;6;19;W ;(+10);38;8;20;0.4;0;1;0;8;12;0.667;4;7;11;4;2;0;3;24;18.3
28;27/12/1997;34-313;6;1;W ;(+7);36;18;26;0.692;0;0;;11;13;0.846;2;2;4;2;3;1;4;47;37.5
29;29/12/1997;34-315;6;9;W ;(+6);41;16;29;0.552;0;1;0;9;11;0.818;1;6;7;0;0;2;2;41;27.8
30;30/12/1997;34-316;6;21;L ;(-4);39;11;28;0.393;1;3;0.333;10;13;0.769;0;4;4;1;0;0;3;33;15.1
31;02/01/1998;34-319;6;20;W ;(+14);43;15;22;0.682;1;1;1;13;15;0.867;1;4;5;1;2;0;0;44;38
32;03/01/1998;34-320;6;11;W ;(+9);47;12;25;0.48;0;1;0;10;11;0.909;0;9;9;9;1;2;4;34;27.5
33;06/01/1998;34-323;6;2;W ;(+11);41;5;13;0.385;0;1;0;9;12;0.75;1;2;3;4;3;0;3;19;14.8
34;07/01/1998;34-324;6;19;L ;(-27);37;12;27;0.444;1;2;0.5;1;3;0.333;2;2;4;1;1;0;1;26;13.8
35;09/01/1998;34-326;6;26;W ;(+1);41;17;33;0.515;1;4;0.25;9;10;0.9;1;3;4;2;3;1;1;44;31.8
36;10/01/1998;34-327;6;12;W ;(+5);38;13;31;0.419;0;1;0;6;10;0.6;4;2;6;3;0;0;1;32;18.4
37;13/01/1998;34-330;6;34;W ;(+10);38;12;27;0.444;0;2;0;16;18;0.889;1;0;1;2;0;0;1;40;24.2
38;15/01/1998;34-332;6;29;L ;(-10);38;9;23;0.391;0;1;0;2;4;0.5;2;7;9;4;2;0;4;20;10.6
39;16/01/1998;34-333;6;20;W ;(+10);40;10;20;0.5;1;1;1;6;7;0.857;0;8;8;2;1;1;3;27;17.9
40;18/01/1998;34-335;6;13;W ;(+6);41;16;29;0.552;2;2;1;11;12;0.917;0;3;3;3;3;1;4;45;32.6
41;21/01/1998;34-338;6;5;W ;(+31);31;14;23;0.609;1;3;0.333;4;4;1;1;4;5;6;3;1;1;33;30.5
42;23/01/1998;34-340;6;22;W ;(+2);44;10;23;0.435;0;1;0;12;13;0.923;0;5;5;1;1;1;4;32;18.6
43;25/01/1998;34-342;6;36;L ;(-7);44;13;26;0.5;0;4;0;6;7;0.857;3;2;5;7;2;0;3;32;23.6
44;27/01/1998;34-344;6;37;W ;(+18);32;7;15;0.467;0;0;;6;6;1;0;0;0;3;1;1;1;20;15.1
45;29/01/1998;34-346;6;31;W ;(+13);39;11;24;0.458;0;1;0;7;7;1;1;4;5;4;1;0;0;29;21.9
46;30/01/1998;34-347;6;12;W ;(+7);41;2;17;0.118;0;0;;10;11;0.909;3;5;8;3;3;1;2;14;9.9
47;01/02/1998;34-349;6;17;L ;(-25);37;11;26;0.423;0;1;0;9;12;0.75;0;5;5;2;1;0;1;31;18.9
48;02/02/1998;34-350;6;10;W ;(+39);33;6;12;0.5;0;0;;3;4;0.75;1;5;6;3;1;0;0;15;13.5
49;04/02/1998;34-352;6;36;L ;(-8);43;17;37;0.459;1;5;0.2;5;6;0.833;2;5;7;3;2;1;1;40;26.4
50;10/02/1998;34-358;6;35;W ;(+7);34;8;21;0.381;0;3;0;2;5;0.4;2;3;5;1;2;0;2;18;7.9
51;11/02/1998;34-359;6;5;W ;(+2);41;11;22;0.5;0;0;;7;9;0.778;1;3;4;6;0;0;1;29;21.2
52;13/02/1998;34-361;6;1;W ;(+2);36;14;22;0.636;0;1;0;9;12;0.75;3;4;7;1;1;0;2;37;29
53;15/02/1998;34-363;6;11;W ;(+9);41;7;17;0.412;0;1;0;7;8;0.875;1;11;12;5;3;0;3;21;17.8
54;17/02/1998;35-000;6;14;W ;(+8);39;13;23;0.565;0;2;0;1;3;0.333;2;2;4;6;1;1;2;27;19.6
55;19/02/1998;35-002;6;35;W ;(+37);28;5;9;0.556;1;2;0.5;5;6;0.833;0;4;4;5;0;0;1;16;14.2
56;21/02/1998;35-004;6;38;W ;(+6);42;8;23;0.348;0;0;;3;5;0.6;3;5;8;3;1;2;1;19;11.2
57;23/02/1998;35-006;6;8;W ;(+22);29;7;14;0.5;0;1;0;3;4;0.75;2;5;7;6;0;1;2;17;14.2
58;25/02/1998;35-008;6;31;L ;(-5);42;9;26;0.346;0;2;0;15;17;0.882;1;3;4;3;4;1;3;33;22.2
59;28/02/1998;35-011;6;32;W ;(+15);39;10;17;0.588;0;1;0;8;9;0.889;1;1;2;2;0;0;2;28;19.7
60;03/03/1998;35-014;6;10;W ;(+28);40;12;19;0.632;0;0;;6;6;1;0;7;7;2;2;0;2;30;24.6
61;08/03/1998;35-019;6;26;W ;(+13);43;17;33;0.515;1;2;0.5;7;9;0.778;3;5;8;6;3;1;2;42;34
62;10/03/1998;35-021;6;19;W ;(+15);39;17;30;0.567;1;2;0.5;2;2;1;0;4;4;4;1;1;1;37;26.7
63;12/03/1998;35-023;6;9;L ;(-7);47;10;24;0.417;1;3;0.333;5;11;0.455;4;3;7;3;1;1;1;26;15.7
64;14/03/1998;35-025;6;33;W ;(+10);42;12;22;0.545;0;0;;6;7;0.857;2;3;5;3;2;1;3;30;22.3
65;16/03/1998;35-027;6;22;W ;(+16);33;6;15;0.4;0;1;0;5;8;0.625;2;5;7;1;1;0;4;17;7.9
66;17/03/1998;35-028;6;14;W ;(+6);42;14;28;0.5;1;3;0.333;6;9;0.667;1;3;4;2;1;0;2;35;21.4
67;20/03/1998;35-031;6;37;W ;(+6);39;8;13;0.615;1;2;0.5;7;10;0.7;0;4;4;3;0;1;3;24;17.5
68;22/03/1998;35-033;6;35;W ;(+2);41;13;28;0.464;0;2;0;7;7;1;0;4;4;3;5;3;2;33;25.8
69;23/03/1998;35-034;6;2;W ;(+23);36;11;22;0.5;0;1;0;2;2;1;1;6;7;2;2;1;2;24;17.2
70;25/03/1998;35-036;6;28;W ;(+15);38;8;21;0.381;1;3;0.333;0;1;0;2;5;7;8;5;0;0;17;17.8
71;27/03/1998;35-038;6;1;W ;(+15);43;13;26;0.5;0;0;;8;12;0.667;1;4;5;4;0;1;2;34;21.6
72;29/03/1998;35-040;6;20;W ;(+17);35;13;24;0.542;0;1;0;4;5;0.8;1;1;2;0;2;0;0;30;19.8
73;31/03/1998;35-042;6;11;W ;(+5);47;11;26;0.423;0;2;0;4;4;1;1;2;3;8;4;2;4;26;18.5
74;03/04/1998;35-045;6;21;W ;(+14);38;16;25;0.64;2;6;0.333;7;8;0.875;3;3;6;4;1;0;0;41;35.9
75;05/04/1998;35-047;6;13;W ;(+15);37;18;31;0.581;0;0;;4;4;1;2;2;4;3;3;0;2;40;29.4
76;07/04/1998;35-049;6;38;W ;(+18);33;11;21;0.524;1;2;0.5;7;8;0.875;1;3;4;3;1;1;2;30;22.7
77;09/04/1998;35-051;6;8;L ;(-6);37;10;24;0.417;0;2;0;9;12;0.75;0;6;6;4;0;0;4;29;14.4
78;11/04/1998;35-053;6;28;W ;(+9);35;15;25;0.6;3;5;0.6;4;10;0.4;1;3;4;2;4;0;0;37;29.3
79;13/04/1998;35-055;6;14;L ;(-9);41;7;19;0.368;1;1;1;12;14;0.857;0;4;4;3;3;0;4;27;18
80;15/04/1998;35-057;6;11;L ;(-8);43;7;25;0.28;0;3;0;5;10;0.5;4;2;6;4;1;0;2;19;5.9
81;17/04/1998;35-059;6;29;W ;(+7);39;9;19;0.474;0;2;0;6;8;0.75;1;5;6;2;5;0;4;24;16.1
82;18/04/1998;35-060;6;26;W ;(+2);40;11;24;0.458;0;0;;22;24;0.917;0;3;3;3;1;0;1;44;33.4
1;30/10/2001;38-255;38;26;L ;(-2);37;7;21;0.333;0;3;0;5;6;0.833;3;2;5;6;4;0;3;19;13.4
2;01/11/2001;38-257;38;1;W ;(+10);40;13;30;0.433;0;3;0;5;6;0.833;0;6;6;6;2;0;1;31;21
3;03/11/2001;38-259;38;29;W ;(+14);38;7;21;0.333;0;0;;6;9;0.667;2;4;6;9;2;1;2;20;16.1
4;04/11/2001;38-260;38;11;L ;(-22);22;8;18;0.444;0;0;;3;3;1;0;8;8;2;1;0;1;19;13
5;07/11/2001;38-263;38;2;L ;(-9);41;12;26;0.462;0;1;0;8;10;0.8;2;6;8;2;2;0;5;32;18.6
6;09/11/2001;38-265;38;12;L ;(-9);38;13;30;0.433;0;1;0;6;8;0.75;0;3;3;3;3;0;3;32;17.2
7;11/11/2001;38-267;38;34;L ;(-15);39;5;26;0.192;0;1;0;6;6;1;3;9;12;4;1;2;1;16;7.2
8;14/11/2001;38-270;38;20;L ;(-9);41;12;24;0.5;0;1;0;7;8;0.875;1;3;4;3;2;1;3;31;20.8
9;16/11/2001;38-272;38;36;L ;(-9);41;17;33;0.515;1;2;0.5;9;11;0.818;3;4;7;3;1;0;0;44;33.3
10;20/11/2001;38-276;38;5;L ;(-7);41;13;23;0.565;1;2;0.5;3;4;0.75;0;4;4;6;2;0;5;30;19.5
11;22/11/2001;38-278;38;14;L ;(-7);40;8;26;0.308;0;1;0;5;5;1;0;5;5;6;2;1;3;21;11
12;24/11/2001;38-280;38;2;W ;(+4);45;7;24;0.292;0;1;0;3;3;1;1;10;11;6;1;0;2;17;8.7
13;27/11/2001;38-283;38;8;L ;(-19);31;9;24;0.375;0;0;;0;0;;1;3;4;5;1;0;0;18;10.1
14;28/11/2001;38-284;38;29;W ;(+7);38;11;27;0.407;0;1;0;8;10;0.8;0;6;6;7;5;1;1;30;25.3
15;30/11/2001;38-286;38;19;W ;(+9);38;10;20;0.5;0;1;0;2;3;0.667;1;6;7;5;0;0;2;22;14.8
16;01/12/2001;38-287;38;28;L ;(-9);33;6;19;0.316;0;0;;3;3;1;0;7;7;7;0;2;2;15;8.9
17;06/12/2001;38-292;38;13;W ;(+3);33;9;23;0.391;0;0;;0;0;;0;6;6;7;0;0;4;18;7.4
18;08/12/2001;38-294;38;9;W ;(+7);35;7;21;0.333;0;1;0;7;9;0.778;2;10;12;4;4;0;1;21;17.3
19;11/12/2001;38-297;38;18;W ;(+10);31;8;19;0.421;0;1;0;0;0;;0;6;6;9;0;0;0;16;13.2
20;12/12/2001;38-298;38;19;W ;(+2);34;9;23;0.391;0;1;0;7;11;0.636;0;6;6;7;1;1;1;25;18.3
21;14/12/2001;38-300;38;26;W ;(+16);34;8;19;0.421;0;1;0;3;3;1;0;6;6;6;1;2;5;19;10.7
22;16/12/2001;38-302;38;35;W ;(+5);36;8;21;0.381;0;0;;5;6;0.833;2;2;4;3;3;0;4;21;11
23;19/12/2001;38-305;38;1;W ;(+27);27;11;19;0.579;0;1;0;1;1;1;1;3;4;6;1;1;2;23;18.8
24;21/12/2001;38-307;38;28;W ;(+18);34;3;16;0.188;0;0;;6;6;1;3;3;6;8;1;0;3;12;8.2
25;22/12/2001;38-308;38;26;W ;(+1);36;11;22;0.5;0;0;;4;7;0.571;0;1;1;3;1;0;4;26;12.4
26;26/12/2001;38-312;38;5;L ;(-6);35;11;28;0.393;1;2;0.5;5;6;0.833;1;3;4;7;1;0;3;28;15.3
27;27/12/2001;38-313;38;14;L ;(-27);25;2;10;0.2;1;2;0.5;1;2;0.5;2;2;4;4;0;0;4;6;-0.2
28;29/12/2001;38-315;38;5;W ;(+17);38;21;38;0.553;0;2;0;9;10;0.9;2;5;7;4;3;0;4;51;35.9
29;31/12/2001;38-317;38;22;W ;(+22);39;16;32;0.5;1;3;0.333;12;13;0.923;0;10;10;7;3;0;3;45;35.7
30;04/01/2002;38-321;38;6;W ;(+6);38;9;24;0.375;0;2;0;11;13;0.846;0;7;7;3;2;2;5;29;16
31;08/01/2002;38-325;38;16;W ;(+8);42;9;24;0.375;0;0;;0;1;0;2;8;10;8;1;0;4;18;10.4
32;11/01/2002;38-328;38;20;L ;(-19);33;10;24;0.417;0;0;;2;4;0.5;0;3;3;3;1;0;6;22;5.6
33;12/01/2002;38-329;38;21;L ;(-8);40;14;30;0.467;0;0;;7;7;1;0;6;6;4;1;1;5;35;20.1
34;15/01/2002;38-332;38;33;L ;(-5);40;5;21;0.238;0;0;;10;16;0.625;0;1;1;4;0;1;4;20;4.7
35;16/01/2002;38-333;38;22;L ;(-44);18;4;14;0.286;0;0;;2;2;1;0;2;2;1;1;1;1;10;3.4
36;19/01/2002;38-336;38;6;W ;(+8);41;7;21;0.333;0;2;0;2;6;0.333;0;12;12;4;2;2;9;16;1.7
37;21/01/2002;38-338;38;21;L ;(-4);39;12;34;0.353;1;4;0.25;4;5;0.8;4;10;14;3;0;0;1;29;16.1
38;22/01/2002;38-339;38;29;L ;(-7);42;14;27;0.519;1;2;0.5;1;1;1;2;6;8;6;2;1;5;30;20.2
39;24/01/2002;38-341;38;8;W ;(+9);40;18;29;0.621;0;0;;4;7;0.571;1;7;8;2;2;0;0;40;31.1
40;26/01/2002;38-343;38;30;W ;(+10);40;17;30;0.567;0;0;;7;9;0.778;2;2;4;7;2;0;2;41;32.1
41;29/01/2002;38-346;38;11;L ;(-3);42;13;30;0.433;0;0;;6;8;0.75;0;5;5;7;2;0;3;32;20.8
42;31/01/2002;38-348;38;8;W ;(+1);40;11;27;0.407;0;1;0;4;4;1;1;4;5;8;1;0;4;26;16
43;01/02/2002;38-349;38;1;W ;(+7);38;10;24;0.417;0;1;0;8;10;0.8;0;4;4;8;2;2;1;28;22.8
44;03/02/2002;38-351;38;14;W ;(+20);41;11;19;0.579;1;1;1;0;0;;1;4;5;6;0;0;0;23;19.4
45;05/02/2002;38-353;38;35;W ;(+5);40;10;21;0.476;0;1;0;3;4;0.75;1;6;7;5;0;0;2;23;14.7
46;07/02/2002;38-355;38;32;W ;(+7);41;12;30;0.4;0;1;0;1;1;1;2;4;6;9;1;0;1;25;16.9
47;12/02/2002;38-360;38;17;L ;(-9);41;8;20;0.4;0;0;;6;8;0.75;0;5;5;6;2;1;4;22;14.4
48;14/02/2002;38-362;38;32;L ;(-16);33;6;18;0.333;0;0;;4;6;0.667;0;1;1;4;1;0;3;16;6.1
49;15/02/2002;38-363;38;30;W ;(+1);37;7;19;0.368;0;0;;8;9;0.889;0;6;6;4;2;2;5;22;13.3
50;18/02/2002;39-001;38;13;L ;(-13);36;5;12;0.417;0;1;0;1;2;0.5;1;5;6;11;0;0;2;11;11.3
51;21/02/2002;39-004;38;22;L ;(-11);37;7;17;0.412;0;1;0;2;2;1;0;5;5;6;3;0;4;16;10.8
52;23/02/2002;39-006;38;19;L ;(-2);37;13;25;0.52;1;1;1;10;12;0.833;1;4;5;7;0;0;4;37;25.5
53;24/02/2002;39-007;38;19;L ;(-12);30;4;13;0.308;1;2;0.5;0;1;0;0;5;5;6;3;0;6;9;3
54;20/03/2002;39-031;38;10;W ;(+32);16;2;9;0.222;0;0;;3;3;1;0;1;1;2;2;0;2;7;3.2
55;21/03/2002;39-032;38;36;L ;(-15);22;4;12;0.333;0;0;;3;4;0.75;0;4;4;4;1;0;1;11;7.8
56;24/03/2002;39-035;38;35;L ;(-1);22;6;17;0.353;0;0;;2;2;1;0;3;3;2;2;0;3;14;4.2
