jogo;data_jogo;serie;jogo_serie;cod_equipe;cod_equipe_opont;resultado;minutos;2pts;2pts_at;2pts_pct;3pts;3pts_at;3pts_pct;LL;LL_at;LL_pct;Reb_Of;Reb_Def;Reb_Tot;Ast;Stl;Blk;Turnv;Pts;Game_Score
1;27/04/1990;EC1;1;6;20;W (+14);44;15;27;0.556;0;1;0;8;11;0.727;1;7;8;7;2;1;7;38;25.7
2;29/04/1990;EC1;2;6;20;W (+7);44;12;21;0.571;0;0;;12;14;0.857;1;8;9;11;5;1;5;36;34.8
3;01/05/1990;EC1;3;6;20;L (-7);46;20;35;0.571;1;5;0.2;7;9;0.778;2;7;9;5;1;2;5;48;33.5
4;03/05/1990;EC1;4;6;20;W (+24);32;8;19;0.421;0;0;;9;13;0.692;1;5;6;5;2;0;1;25;18.8
5;07/05/1990;ECS;1;6;29;W (+11);43;16;30;0.533;2;4;0.5;5;6;0.833;1;4;5;6;5;2;4;39;31.3
6;09/05/1990;ECS;2;6;29;W (+5);43;18;36;0.5;1;3;0.333;8;8;1;4;4;8;7;3;0;2;45;35.7
7;11/05/1990;ECS;3;6;29;L (-6);42;19;34;0.559;4;11;0.364;7;9;0.778;2;3;5;5;4;1;5;49;35.9
8;13/05/1990;ECS;4;6;29;W (+10);42;16;31;0.516;1;2;0.5;12;13;0.923;1;5;6;11;2;2;3;45;38.4
9;16/05/1990;ECS;5;6;29;W (+18);42;17;26;0.654;1;3;0.333;2;4;0.5;2;7;9;8;6;1;4;37;35.8
10;20/05/1990;ECF;1;6;11;L (-9);42;12;27;0.444;2;6;0.333;8;8;1;1;6;7;5;3;0;1;34;26.7
11;22/05/1990;ECF;2;6;11;L (-9);45;5;16;0.313;0;2;0;10;12;0.833;1;6;7;7;4;1;3;20;17.1
12;26/05/1990;ECF;3;6;11;W (+5);43;17;32;0.531;2;2;1;11;13;0.846;3;7;10;4;1;0;4;47;33.4
13;28/05/1990;ECF;4;6;11;W (+7);43;13;26;0.5;0;1;0;16;19;0.842;0;4;4;9;4;3;4;42;35.4
14;30/05/1990;ECF;5;6;11;L (-14);39;7;19;0.368;1;4;0.25;7;9;0.778;1;3;4;8;1;0;1;22;17.5
15;01/06/1990;ECF;6;6;11;W (+18);39;11;20;0.55;1;4;0.25;6;6;1;1;9;10;2;1;0;3;29;20.6
16;03/06/1990;ECF;7;6;11;L (-19);45;13;27;0.481;0;2;0;5;5;1;2;6;8;9;1;0;4;31;23
1;25/04/1991;EC1;1;6;26;W (+41);32;8;15;0.533;3;4;0.75;9;9;1;1;5;6;6;2;0;1;28;27.3
2;28/04/1991;EC1;2;6;26;W (+10);42;9;16;0.563;0;0;;8;9;0.889;1;4;5;5;0;1;2;26;21.3
3;30/04/1991;EC1;3;6;26;W (+9);39;14;28;0.5;0;2;0;5;5;1;1;2;3;7;6;1;1;33;29.7
4;04/05/1991;ECS;1;6;29;W (+13);31;8;15;0.533;0;1;0;13;15;0.867;0;5;5;5;3;1;1;29;27.8
5;06/05/1991;ECS;2;6;29;W (+12);40;12;26;0.462;0;5;0;5;7;0.714;1;7;8;9;1;1;1;29;23
6;10/05/1991;ECS;3;6;29;L (-2);42;20;34;0.588;0;0;;6;9;0.667;0;4;4;6;1;4;2;46;35
7;12/05/1991;ECS;4;6;29;W (+16);41;11;27;0.407;2;3;0.667;1;2;0.5;0;4;4;12;4;0;1;25;21.1
8;14/05/1991;ECS;5;6;29;W (+5);42;14;31;0.452;0;2;0;10;11;0.909;4;15;19;7;0;1;4;38;29.2
9;19/05/1991;ECF;1;6;11;W (+11);38;6;15;0.4;0;1;0;10;13;0.769;0;3;3;6;3;0;6;22;13.2
10;21/05/1991;ECF;2;6;11;W (+8);39;10;20;0.5;2;2;1;13;14;0.929;2;1;3;7;2;0;3;35;29.4
11;25/05/1991;ECF;3;6;11;W (+6);46;11;19;0.579;0;0;;11;12;0.917;0;7;7;7;3;5;1;33;34.6
12;27/05/1991;ECF;4;6;11;W (+21);37;11;17;0.647;1;2;0.5;6;9;0.667;0;8;8;8;1;2;2;29;27.9
13;02/06/1991;FIN;1;6;17;L (-2);40;14;24;0.583;1;1;1;7;9;0.778;2;6;8;12;3;0;4;36;32.6
14;05/06/1991;FIN;2;6;17;W (+21);36;15;18;0.833;0;1;0;3;4;0.75;1;6;7;13;2;1;4;33;34.7
15;07/06/1991;FIN;3;6;17;W (+8);52;11;28;0.393;1;1;1;6;6;1;4;5;9;9;4;2;3;29;24.8
16;09/06/1991;FIN;4;6;17;W (+15);44;11;20;0.55;0;1;0;6;6;1;1;4;5;13;0;2;1;28;28.6
17;12/06/1991;FIN;5;6;17;W (+7);48;12;23;0.522;0;0;;6;8;0.75;0;4;4;10;5;2;6;30;26.1
1;24/04/1992;EC1;1;6;19;W (+19);41;21;34;0.618;0;0;;4;4;1;1;10;11;9;3;1;5;46;37.7
2;26/04/1992;EC1;2;6;19;W (+30);35;12;23;0.522;0;0;;9;10;0.9;4;9;13;6;2;0;4;33;27.8
3;29/04/1992;EC1;3;6;19;W (+5);43;20;30;0.667;0;0;;16;18;0.889;1;4;5;5;4;2;2;56;49.8
4;05/05/1992;ECS;1;6;26;L (-5);44;12;23;0.522;0;0;;7;8;0.875;1;5;6;3;1;3;2;31;23.1
5;07/05/1992;ECS;2;6;26;W (+8);43;12;24;0.5;0;0;;3;8;0.375;1;5;6;5;3;0;2;27;18.9
6;09/05/1992;ECS;3;6;26;W (+8);44;12;24;0.5;1;3;0.333;7;10;0.7;1;8;9;3;3;1;6;32;20.9
7;10/05/1992;ECS;4;6;26;L (-7);44;12;26;0.462;0;2;0;5;6;0.833;2;2;4;4;0;0;0;29;19.6
8;12/05/1992;ECS;5;6;26;W (+8);40;11;23;0.478;0;0;;15;17;0.882;2;3;5;3;1;0;4;37;24.7
9;14/05/1992;ECS;6;6;26;L (-14);45;9;25;0.36;1;5;0.2;2;4;0.5;0;4;4;8;0;1;7;21;6.8
10;17/05/1992;ECS;7;6;26;W (+29);42;15;29;0.517;0;0;;12;13;0.923;3;3;6;4;2;3;5;42;31
11;19/05/1992;ECF;1;6;8;W (+14);40;15;29;0.517;1;2;0.5;2;2;1;1;5;6;7;2;1;1;33;27.5
12;21/05/1992;ECF;2;6;8;L (-26);35;7;22;0.318;0;0;;6;7;0.857;8;3;11;3;3;2;6;20;12.8
13;23/05/1992;ECF;3;6;8;W (+9);43;13;27;0.481;1;1;1;9;10;0.9;3;3;6;9;1;0;5;36;26
14;25/05/1992;ECF;4;6;8;L (-14);44;15;33;0.455;1;3;0.333;4;5;0.8;2;3;5;6;3;0;5;35;20.8
15;27/05/1992;ECF;5;6;8;W (+23);39;13;28;0.464;0;0;;11;12;0.917;0;3;3;5;4;0;0;37;29
16;29/05/1992;ECF;6;6;8;W (+5);44;10;27;0.37;0;0;;9;9;1;1;7;8;8;2;0;3;29;20.3
17;03/06/1992;FIN;1;6;31;W (+33);34;16;27;0.593;6;10;0.6;1;1;1;2;1;3;11;2;0;1;39;36.9
18;05/06/1992;FIN;2;6;31;L (-11);50;16;32;0.5;0;4;0;7;9;0.778;1;4;5;10;1;0;5;39;25.1
19;07/06/1992;FIN;3;6;31;W (+10);41;11;22;0.5;0;1;0;4;4;1;2;5;7;4;3;0;5;26;17.1
20;10/06/1992;FIN;4;6;31;L (-5);44;11;26;0.423;2;6;0.333;8;8;1;0;5;5;6;0;0;5;32;17.3
